
#e6194b,red,1
#3cb44b,green,2
#ffe119,yellow,3
#4363d8,blue,4
#f58231,orange,5
#911eb4,purple,6
#46f0f0,cyan,7
#f032e6,magenta,8
#bfef45,lime,9
#fabed4,pink,10
#469990,teal,11
#dcbeff,lavender,12
#9A6324,brown,13
#fffac8,beige,14
#aaffc3,mint,15
#808000,olive,16
#ffd8b1,apricot,17
#000075,navy,18
#a9a9a9,grey,19
#000000,black,20
